,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
189,CHEMBL292314,Nc1c2c(nc3cc(Cl)ccc13)CCCC2,active,1.8
190,CHEMBL355740,Nc1c2c(nc3c(Cl)cccc13)C1CCC2C1,active,84.3
191,CHEMBL54727,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,active,24.0
192,CHEMBL75919,CN1CC[C@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,intermediate,3500.0
193,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,active,33.5
194,CHEMBL309351,C[C@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,active,231.0
195,CHEMBL75743,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCNC1N2,intermediate,1490.0
196,CHEMBL76135,C[C@@]12CCN(Cc3ccccc3)C1N(Cc1ccccc1)c1ccc(OC(=O)Nc3ccccc3)cc12,inactive,41130.0
197,CHEMBL440497,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,intermediate,3560.0
198,CHEMBL368196,Nc1c2c(nc3cccc(Cl)c13)C1CCC2C1,active,42.2
199,CHEMBL62084,Nc1c2c(nc3ccc(Cl)cc13)CCCC2,active,743.0
200,CHEMBL172118,Nc1c2c(nc3ccc(Cl)cc13)C1CCC2C1,intermediate,1100.0
201,CHEMBL1202875,Cl.Cl.O.c1ccc(CN2CCC(CCOc3ccc(-c4ccccc4)nn3)CC2)cc1,active,710.0
202,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,active,143.0
203,CHEMBL62084,Nc1c2c(nc3ccc(Cl)cc13)CCCC2,intermediate,3680.0
204,CHEMBL134057,Nc1c2c(nc3cccc(Cl)c13)CCCC2,active,39.0
205,CHEMBL436367,Nc1c2c(nc3c1CCCO3)CCCC2,active,455.0
206,CHEMBL132365,COc1cccc2nc3c(c(N)c12)CCCC3,active,615.0
207,CHEMBL3215535,Cl.Cl.c1ccc(CN2CCC(CCNc3ccc(-c4ccccc4)nn3)CC2)cc1,active,140.0
208,CHEMBL1202865,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CCC4)CC2)cc1,active,120.0
209,CHEMBL133520,Nc1c2c(nc3cccc(F)c13)OCCC2,active,335.0
210,CHEMBL130373,Nc1c2c(nc3cnccc13)OCCC2,active,42.0
211,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,active,95.0
212,CHEMBL1202884,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4ccc5ccccc5c4nn3)CC2)cc1,active,190.0
213,CHEMBL263198,Nc1c2c(nc3c1CCCC3)CCCC2,active,360.0
